id,name,creationTime
867762797896,06. 6-Г клас. Математика (2026-2027),2026-06-12T06:08:42Z
867763366407,06. 6-Г клас. Українська мова (2026-2027),2026-06-12T06:08:38Z
867763715491,06. 6-Г клас. Англійська мова (Гр. 2) (2026-2027),2026-06-12T06:08:34Z
798178933434,06. 6-Г клас. Англійська мова (Гр. 1) (2026-2027),2026-06-12T06:08:31Z
867762116767,06. 6-Г клас. Українська література (2026-2027),2026-06-12T06:08:27Z
867762729989,06. 6-Г клас. Історія України. Всесвітня історія (2026-2027),2026-06-12T06:08:23Z
867762999863,06. 6-Г клас. Географія (2026-2027),2026-06-12T06:08:19Z
867763686035,06. 6-Г клас. Зарубіжна література (2026-2027),2026-06-12T06:08:15Z
867763210300,06. 6-Г клас. Пізнаємо природу (2026-2027),2026-06-12T06:08:11Z
867763725434,06. 6-Г клас. Інформатика (Гр. 1) (2026-2027),2026-06-12T06:08:08Z
867762791806,06. 6-Г клас. Технології (Трудове) (Гр. 1) (2026-2027),2026-06-12T06:08:04Z
867763359013,06. 6-Г клас. Інформатика (Гр. 2) (2026-2027),2026-06-12T06:08:01Z
867741511686,06. 6-Г клас. Физична культура (2026-2027),2026-06-12T06:07:57Z
867763399459,06. 6-Г клас. Технології (Трудове) (Гр. 2) (2026-2027),2026-06-12T06:07:54Z
867763357503,06. 6-Г клас. Мистецтво (2026-2027),2026-06-12T06:07:50Z
867763748582,06. 6-Г клас. Друга мова (Польська) (Гр. 1) (2026-2027),2026-06-12T06:07:47Z
867763215828,06. 6-Г клас. Логіка (2026-2027),2026-06-12T06:07:43Z
867762079910,06. 6-Г клас. Друга мова (Польська) (Гр. 2) (2026-2027),2026-06-12T06:07:39Z
867762936779,06. 6-Г клас. Основи християнської етики (2026-2027),2026-06-12T06:07:36Z
798179020268,06. 6-В клас. Математика (2026-2027),2026-06-12T06:07:32Z
867760860680,06. 6-В клас. Українська мова (2026-2027),2026-06-12T06:07:28Z
867763730143,06. 6-В клас. Англійська мова (Гр. 2) (2026-2027),2026-06-12T06:07:24Z
867762429077,06. 6-В клас. Англійська мова (Гр. 1) (2026-2027),2026-06-12T06:07:21Z
867763038604,06. 6-В клас. Українська література (2026-2027),2026-06-12T06:07:17Z
