id,name,section
867336986959,04. 04 клас. Екстернат (2026-2027),Екстернат
867335860978,04. 4-Г Інформатика (2026-2027),Початкова школа
867335589149,04. 4-А Англійська мова (2026-2027),Початкова школа
867335109249,04. 4-Г клас (2026-2027),Початкова школа
867335907947,04. 4-В Інформатика (2026-2027),Початкова школа
867336436019,04. 4-В Англійська мова (2026-2027),Початкова школа
867336386177,04. 4-В клас (2026-2027),Початкова школа
867336251785,04. 4-Б Інформатика (2026-2027),Початкова школа
867335850617,04. 4-Б Англійська мова (2026-2027),Початкова школа
867334808154,04. 4-Б клас (2026-2027),Початкова школа
798125542813,04. 4-А Інформатика (2026-2027),Початкова школа
867335080770,04. 4-Г Англійська мова (2026-2027),Початкова школа
867336332385,04. 4-А клас (2026-2027),Початкова школа
867331417458,02. 2-В Англійська мова (2026-2027),Початкова школа
867324295576,03. 03 клас. Екстернат (2026-2027),Екстернат
867317060340,03. 3-Г Інформатика (2026-2027),Початкова школа
798124355764,03. 3-Г Англійська мова (2026-2027),Початкова школа
867324504631,03. 3-Г клас (2026-2027),Початкова школа
867323263592,03. 3-В Інформатика (2026-2027),Початкова школа
867323939549,03. 3-В Англійська мова (2026-2027),Початкова школа
867322809643,03. 3-В клас (2026-2027),Початкова школа
867324393329,03. 3-Б Інформатика (2026-2027),Початкова школа
867323305345,03. 3-Б Англійська мова (2026-2027),Початкова школа
867323419328,03. 3-Б клас (2026-2027),Початкова школа
867324738824,03. 3-А Інформатика (2026-2027),Початкова школа
867324181198,03. 3-А Англійська мова (2026-2027),Початкова школа
867323697954,03. 3-А клас (2026-2027),Початкова школа
867312800722,04. 04 клас. Екстернат (2026-2027),Екстернат
867272231020,02. 2-Г Англійська мова (2026-2027),Початкова школа
867271652276,02. 2-В клас (2026-2027),Початкова школа
867270615070,02. 2-Г клас (2026-2027),Початкова школа
867271980954,02. 2-Б Англійська мова (2026-2027),Початкова школа
867271596986,02. 2-А клас (2026-2027),Початкова школа
867271144756,02. 2-А Англійська мова (2026-2027),Початкова школа
867271054907,02. 2-Б клас (2026-2027),Початкова школа
867270049349,01. 1-Г клас. НУШ (2026-2027),Початкова школа
867270096376,01. 1-Г клас. Англійська мова (2026-2027),Початкова школа
867270052567,01. 01 клас. Екстернат (2026-2027),Екстернат
867268618041,02. 02 клас. Екстернат (2026-2027),Екстернат
867267818221,01. 1-В клас. НУШ (2026-2027),Початкова школа
867269784292,01. 1-Б клас. НУШ (2026-2027),Початкова школа
867269734400,01. 1-Б клас. Англійська мова (2026-2027),Початкова школа
867269419571,01. 1-А клас. Англійська мова (2026-2027),Початкова школа
867269348958,01. 1-А клас. НУШ (2026-2027),Початкова школа
