group_email,ou_path
class-2-a@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/2-А клас
class-2-b@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/2-Б клас
class-2-v@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/2-В клас
class-3-a@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/3-А клас
class-3-b@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/3-Б клас
class-3-v@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/3-В клас
class-4-a@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/4-А клас
class-4-b@schoolgus.ukr.education,/01. 👶 ПОЧАТКОВА ШКОЛА/4-Б клас
class-5-a@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/5-А клас
class-5-b@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/5-Б клас
class-5-v@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/5-В клас
class-6-a@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/6-А клас
class-6-b@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/6-Б клас
class-6-v@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/6-В клас
class-7-a@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-А клас
class-7-b@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-Б клас
class-7-v@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-В клас
class-7-g@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-Г клас
class-8-a@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-А клас
class-8-b@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-Б клас
class-8-v@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-В клас
class-8-g@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-Г клас
class-9-a@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/9-А клас
class-9-b@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/9-Б клас
class-9-v@schoolgus.ukr.education,/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/9-В клас
class-10-a@schoolgus.ukr.education,/03. 🎓 СТАРША ШКОЛА/10-А клас
class-10-b@schoolgus.ukr.education,/03. 🎓 СТАРША ШКОЛА/10-Б клас
class-11-a@schoolgus.ukr.education,/03. 🎓 СТАРША ШКОЛА/11-А клас
externat-3@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/03 клас
externat-4@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/04 клас
externat-5@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/05 клас
externat-6@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/06 клас
externat-7@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/07 клас
externat-8@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/08 клас
externat-9@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/09 клас
externat-10@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/10 клас
externat-11@schoolgus.ukr.education,/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/11 клас
