orgUnitPath,orgUnitId,name,parentOrgUnitId
/01. 👶 ПОЧАТКОВА ШКОЛА,id:03ph8a2z18c1vkd,01. 👶 ПОЧАТКОВА ШКОЛА,id:03ph8a2z0zbln2u
/01. 👶 ПОЧАТКОВА ШКОЛА/1-А клас,id:03ph8a2z0q2m4mk,1-А клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/1-Б клас,id:03ph8a2z1gaxl1r,1-Б клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/1-В клас,id:03ph8a2z0w5gleh,1-В клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/1-Г клас,id:03ph8a2z1p7jxi6,1-Г клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/2-А клас,id:03ph8a2z2ochqds,2-А клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/2-Б клас,id:03ph8a2z162u019,2-Б клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/2-В клас,id:03ph8a2z13hs0ll,2-В клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/2-Г клас,id:03ph8a2z1z8u3yc,2-Г клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/3-А клас,id:03ph8a2z2b3p2o2,3-А клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/3-Б клас,id:03ph8a2z3quv2h8,3-Б клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/3-В клас,id:03ph8a2z4j8hmm5,3-В клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/3-Г клас,id:03ph8a2z3s7smes,3-Г клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/4-А клас,id:03ph8a2z2ffvdxd,4-А клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/4-Б клас,id:03ph8a2z0majn7m,4-Б клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/4-В клас,id:03ph8a2z0okrnt6,4-В клас,id:03ph8a2z18c1vkd
/01. 👶 ПОЧАТКОВА ШКОЛА/4-Г клас,id:03ph8a2z3q2hip2,4-Г клас,id:03ph8a2z18c1vkd
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА,id:03ph8a2z49med4i,02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА,id:03ph8a2z0zbln2u
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/5-А клас,id:03ph8a2z2ixnv9m,5-А клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/5-Б клас,id:03ph8a2z43hneo3,5-Б клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/5-В клас,id:03ph8a2z1kadfsg,5-В клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/5-Г клас,id:03ph8a2z2g1vpg8,5-Г клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/6-А клас,id:03ph8a2z2imxovw,6-А клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/6-Б клас,id:03ph8a2z0xs7z3p,6-Б клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/6-В клас,id:03ph8a2z45myidt,6-В клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/6-Г клас,id:03ph8a2z3xg999n,6-Г клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-А клас,id:03ph8a2z2cljjhg,7-А клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-Б клас,id:03ph8a2z3f6tibu,7-Б клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-В клас,id:03ph8a2z2jfb8o2,7-В клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/7-Г клас,id:03ph8a2z0yklivv,7-Г клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-А клас,id:03ph8a2z0jl4pnj,8-А клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-Б клас,id:03ph8a2z0zppj6n,8-Б клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-В клас,id:03ph8a2z0rqttp9,8-В клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/8-Г клас,id:03ph8a2z3xipppk,8-Г клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/9-А клас,id:03ph8a2z1ktxave,9-А клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/9-Б клас,id:03ph8a2z44tktj7,9-Б клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/9-В клас,id:03ph8a2z3jpd1ug,9-В клас,id:03ph8a2z49med4i
/02. 🧑‍🎓 СЕРЕДНЯ ШКОЛА/9-Г клас,id:03ph8a2z41bsc6y,9-Г клас,id:03ph8a2z49med4i
/03. 🎓 СТАРША ШКОЛА,id:03ph8a2z0moqf3p,03. 🎓 СТАРША ШКОЛА,id:03ph8a2z0zbln2u
/03. 🎓 СТАРША ШКОЛА/10-А клас,id:03ph8a2z1z2gvp1,10-А клас,id:03ph8a2z0moqf3p
/03. 🎓 СТАРША ШКОЛА/10-Б клас,id:03ph8a2z4l8fn50,10-Б клас,id:03ph8a2z0moqf3p
/03. 🎓 СТАРША ШКОЛА/10-В клас,id:03ph8a2z3r6hlh0,10-В клас,id:03ph8a2z0moqf3p
/03. 🎓 СТАРША ШКОЛА/10-Г клас,id:03ph8a2z10fec2o,10-Г клас,id:03ph8a2z0moqf3p
/03. 🎓 СТАРША ШКОЛА/11-А клас,id:03ph8a2z4gwtan4,11-А клас,id:03ph8a2z0moqf3p
/03. 🎓 СТАРША ШКОЛА/11-Б клас,id:03ph8a2z30dpxct,11-Б клас,id:03ph8a2z0moqf3p
/03. 🎓 СТАРША ШКОЛА/11-В клас,id:03ph8a2z215rp9v,11-В клас,id:03ph8a2z0moqf3p
/03. 🎓 СТАРША ШКОЛА/11-Г клас,id:03ph8a2z2488rnr,11-Г клас,id:03ph8a2z0moqf3p
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ,id:03ph8a2z3z5h3es,04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ,id:03ph8a2z0zbln2u
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/01 клас,id:03ph8a2z3nnsrip,01 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/02 клас,id:03ph8a2z3zinq8f,02 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/03 клас,id:03ph8a2z0mwjyqh,03 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/04 клас,id:03ph8a2z2hv0ber,04 клас,id:03ph8a2z3z5h3es
/04. 🎒 ЕКСТЕРНАТНА ФОРМА НАВЧАННЯ/05 клас,id:03ph8a2z1b7dv2q,05 клас,id:03ph8a2z3z5h3es
