email,id,name,description,directMembersCount,adminCreated,aliases,nonEditableAliases,allowExternalMembers,allowWebPosting,archiveOnly,customFooterText,customRolesEnabledForSettingsToBeMerged,defaultMessageDenyNotificationText,defaultSender,enableCollaborativeInbox,includeCustomFooter,includeInGlobalAddressList,isArchived,membersCanPostAsTheGroup,messageModerationLevel,primaryLanguage,replyTo,sendMessageDenyNotification,spamModerationLevel,whoCanContactOwner,whoCanJoin,whoCanLeaveGroup,whoCanPostMessage,whoCanViewGroup,whoCanViewMembership,whoCanDiscoverGroup,showInGroupDirectory,whoCanAssistContent,whoCanAssignTopics,whoCanEnterFreeFormTags,whoCanHideAbuse,whoCanMakeTopicsSticky,whoCanMarkDuplicate,whoCanMarkFavoriteReplyOnAnyTopic,whoCanMarkNoResponseNeeded,whoCanModifyTagsAndCategories,whoCanTakeTopics,whoCanUnassignTopic,whoCanUnmarkFavoriteReplyOnAnyTopic,whoCanModerateContent,whoCanApproveMessages,whoCanDeleteAnyPost,whoCanDeleteTopics,whoCanLockTopics,whoCanMoveTopicsIn,whoCanMoveTopicsOut,whoCanPostAnnouncements,whoCanModerateMembers,whoCanAdd,whoCanApproveMembers,whoCanBanUsers,whoCanInvite,whoCanModifyMembers,allowGoogleCommunication,favoriteRepliesOnTop,maxMessageBytes,messageDisplayFont,whoCanAddReferences,whoCanMarkFavoriteReplyOnOwnTopic
admin_school@schoolgus.ukr.education,04du1wux1lg3aid,Адміністрація школи,,3,True,,admin_school@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-1-a@schoolgus.ukr.education,048pi1tg3nmdimo,1-А клас,,0,True,,class-1-a@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-1-b@schoolgus.ukr.education,03ep43zb1jpfx3g,1-Б клас,,0,True,,class-1-b@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-1-g@schoolgus.ukr.education,02iq8gzs2c229tb,1-Г клас,,0,True,,class-1-g@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-1-v@schoolgus.ukr.education,03hv69ve44jty01,1-В клас,,0,True,,class-1-v@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-10-a@schoolgus.ukr.education,0111kx3o1spke98,10-А клас,,24,True,,class-10-a@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-10-b@schoolgus.ukr.education,04anzqyu42bjl19,10-Б клас,,25,True,,class-10-b@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-10-g@schoolgus.ukr.education,02fk6b3p2oczibi,10-Г клас,10-Г клас,0,True,,class-10-g@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-10-v@schoolgus.ukr.education,03vac5uf1f1rblz,10-В клас,,25,True,,class-10-v@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
class-11-a@schoolgus.ukr.education,01664s550j390er,11-А клас,,20,True,,class-11-a@schoolgus.ukr.education.test-google-a.com,false,true,false,,false,,DEFAULT_SELF,false,false,true,false,false,MODERATE_NONE,en_US,REPLY_TO_IGNORE,false,MODERATE,ANYONE_CAN_CONTACT,CAN_REQUEST_TO_JOIN,ALL_MEMBERS_CAN_LEAVE,ANYONE_CAN_POST,ALL_MEMBERS_CAN_VIEW,ALL_MEMBERS_CAN_VIEW,ALL_IN_DOMAIN_CAN_DISCOVER,false,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_ADD,ALL_MANAGERS_CAN_APPROVE,OWNERS_AND_MANAGERS,ALL_MANAGERS_CAN_INVITE,OWNERS_AND_MANAGERS,false,true,26214400,DEFAULT_FONT,NONE,OWNERS_AND_MANAGERS
