"Радимо не редагувати критерії оцінювання у форматі електронної таблиці",,,,
"v1.0-s",,,,
"Характеристика діяльності (наскрізні вміння)","Оцінюється інтерес до навчання, організованість, самостійність та активність на уроці.",,,
,,"4","В (Високий)","Виявляє творчість, самостійно розв'язує проблеми, допомагає іншим."
,,"3","Д (Достатній)","Самостійно виконує типові завдання, працює зосереджено."
,,"2","С (Середній)","Виконує прості завдання за зразком, потребує нагадувань."
,,"1","П (Початковий)","Працює лише з допомогою вчителя, часто відволікається."
"Результат навчання (Предметна компетентність)","Рівень засвоєння знань та вміння застосовувати їх на практиці відповідно до програми НУШ.",,,
,,"4","В (Високий)","Повно і глибоко володіє матеріалом, застосовує знання у нестандартних ситуаціях."
,,"3","Д (Достатній)","Володіє матеріалом, застосовує знання у стандартних ситуаціях."
,,"2","С (Середній)","Знає базовий матеріал, виконує завдання за підказкою."
,,"1","П (Початковий)","Відтворює окремі фрагменти знань, припускається грубих помилок."
