timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1785445614893,355,GET Request,200,OK,Thread Group 1-1,text,true,,1509,180,1,1,https://jsonplaceholder.typicode.com/posts/1,346,0,307
1785445615250,170,POST Request,201,Created,Thread Group 1-1,text,true,,1376,279,1,1,https://jsonplaceholder.typicode.com/posts,170,0,39
1785445615421,400,PUT Request,200,OK,Thread Group 1-1,text,true,,1246,289,1,1,https://jsonplaceholder.typicode.com/posts/1,399,0,46
1785445615822,169,PATCH Request,200,OK,Thread Group 1-1,text,true,,1409,222,1,1,https://jsonplaceholder.typicode.com/posts/1,168,0,36
1785445615991,190,DELETE Request,200,OK,Thread Group 1-1,text,true,,1183,202,1,1,https://jsonplaceholder.typicode.com/posts/1,190,0,52
1785445616182,55,GET Request,200,OK,Thread Group 1-1,text,true,,1509,180,1,1,https://jsonplaceholder.typicode.com/posts/1,55,0,34
1785445616238,174,POST Request,201,Created,Thread Group 1-1,text,true,,1376,279,1,1,https://jsonplaceholder.typicode.com/posts,174,0,31
1785445616413,414,PUT Request,200,OK,Thread Group 1-1,text,true,,1246,289,2,2,https://jsonplaceholder.typicode.com/posts/1,413,0,60
1785445616814,128,GET Request,200,OK,Thread Group 1-2,text,true,,1505,180,2,2,https://jsonplaceholder.typicode.com/posts/1,127,0,72
1785445616829,217,PATCH Request,200,OK,Thread Group 1-1,text,true,,1413,222,2,2,https://jsonplaceholder.typicode.com/posts/1,217,0,57
1785445616943,174,POST Request,201,Created,Thread Group 1-2,text,true,,1380,279,2,2,https://jsonplaceholder.typicode.com/posts,173,0,41
1785445617047,210,DELETE Request,200,OK,Thread Group 1-1,text,true,,1187,202,2,2,https://jsonplaceholder.typicode.com/posts/1,209,0,57
1785445617117,167,PUT Request,200,OK,Thread Group 1-2,text,true,,1250,289,2,2,https://jsonplaceholder.typicode.com/posts/1,166,0,33
1785445617258,58,GET Request,200,OK,Thread Group 1-1,text,true,,1509,180,2,2,https://jsonplaceholder.typicode.com/posts/1,58,0,36
1785445617284,197,PATCH Request,200,OK,Thread Group 1-2,text,true,,1413,222,2,2,https://jsonplaceholder.typicode.com/posts/1,197,0,56
1785445617317,190,POST Request,201,Created,Thread Group 1-1,text,true,,1380,279,2,2,https://jsonplaceholder.typicode.com/posts,190,0,53
1785445617482,165,DELETE Request,200,OK,Thread Group 1-2,text,true,,1187,202,2,2,https://jsonplaceholder.typicode.com/posts/1,165,0,34
1785445617508,162,PUT Request,200,OK,Thread Group 1-1,text,true,,1250,289,2,2,https://jsonplaceholder.typicode.com/posts/1,162,0,32
1785445617648,57,GET Request,200,OK,Thread Group 1-2,text,true,,1509,180,2,2,https://jsonplaceholder.typicode.com/posts/1,56,0,31
1785445617671,167,PATCH Request,200,OK,Thread Group 1-1,text,true,,1413,222,2,2,https://jsonplaceholder.typicode.com/posts/1,167,0,34
1785445617705,174,POST Request,201,Created,Thread Group 1-2,text,true,,1380,279,2,2,https://jsonplaceholder.typicode.com/posts,174,0,30
1785445617838,168,DELETE Request,200,OK,Thread Group 1-1,text,true,,1187,202,2,2,https://jsonplaceholder.typicode.com/posts/1,168,0,31
1785445617880,162,PUT Request,200,OK,Thread Group 1-2,text,true,,1254,289,1,1,https://jsonplaceholder.typicode.com/posts/1,161,0,30
1785445618042,185,PATCH Request,200,OK,Thread Group 1-2,text,true,,1417,222,1,1,https://jsonplaceholder.typicode.com/posts/1,184,0,33
1785445618228,202,DELETE Request,200,OK,Thread Group 1-2,text,true,,1191,202,1,1,https://jsonplaceholder.typicode.com/posts/1,201,0,61
1785445618431,57,GET Request,200,OK,Thread Group 1-2,text,true,,1509,180,1,1,https://jsonplaceholder.typicode.com/posts/1,56,0,36
1785445618489,200,POST Request,201,Created,Thread Group 1-2,text,true,,1384,279,1,1,https://jsonplaceholder.typicode.com/posts,199,0,58
1785445618690,164,PUT Request,200,OK,Thread Group 1-2,text,true,,1254,289,2,2,https://jsonplaceholder.typicode.com/posts/1,164,0,35
1785445618813,53,GET Request,200,OK,Thread Group 1-3,text,true,,1509,180,2,2,https://jsonplaceholder.typicode.com/posts/1,53,0,35
1785445618855,160,PATCH Request,200,OK,Thread Group 1-2,text,true,,1409,222,2,2,https://jsonplaceholder.typicode.com/posts/1,159,0,30
1785445618866,163,POST Request,201,Created,Thread Group 1-3,text,true,,1376,279,2,2,https://jsonplaceholder.typicode.com/posts,162,0,29
1785445619015,168,DELETE Request,200,OK,Thread Group 1-2,text,true,,1183,202,2,2,https://jsonplaceholder.typicode.com/posts/1,168,0,31
1785445619029,189,PUT Request,200,OK,Thread Group 1-3,text,true,,1246,289,1,1,https://jsonplaceholder.typicode.com/posts/1,188,0,53
1785445619218,160,PATCH Request,200,OK,Thread Group 1-3,text,true,,1409,222,1,1,https://jsonplaceholder.typicode.com/posts/1,160,0,31
1785445619379,178,DELETE Request,200,OK,Thread Group 1-3,text,true,,1183,202,1,1,https://jsonplaceholder.typicode.com/posts/1,177,0,32
1785445619558,92,GET Request,200,OK,Thread Group 1-3,text,true,,1505,180,1,1,https://jsonplaceholder.typicode.com/posts/1,91,0,60
1785445619650,166,POST Request,201,Created,Thread Group 1-3,text,true,,1376,279,1,1,https://jsonplaceholder.typicode.com/posts,165,0,35
1785445619817,169,PUT Request,200,OK,Thread Group 1-3,text,true,,1246,289,1,1,https://jsonplaceholder.typicode.com/posts/1,168,0,35
1785445619988,170,PATCH Request,200,OK,Thread Group 1-3,text,true,,1413,222,1,1,https://jsonplaceholder.typicode.com/posts/1,170,0,35
1785445620162,190,DELETE Request,200,OK,Thread Group 1-3,text,true,,1187,202,1,1,https://jsonplaceholder.typicode.com/posts/1,190,0,54
1785445620353,61,GET Request,200,OK,Thread Group 1-3,text,true,,1509,180,1,1,https://jsonplaceholder.typicode.com/posts/1,60,0,40
1785445620414,202,POST Request,201,Created,Thread Group 1-3,text,true,,1380,279,1,1,https://jsonplaceholder.typicode.com/posts,201,0,60
1785445620617,172,PUT Request,200,OK,Thread Group 1-3,text,true,,1250,289,1,1,https://jsonplaceholder.typicode.com/posts/1,171,0,40
1785445620813,56,GET Request,200,OK,Thread Group 1-4,text,true,,1509,180,2,2,https://jsonplaceholder.typicode.com/posts/1,55,0,35
1785445620789,165,PATCH Request,200,OK,Thread Group 1-3,text,true,,1413,222,2,2,https://jsonplaceholder.typicode.com/posts/1,164,0,33
1785445620869,197,POST Request,201,Created,Thread Group 1-4,text,true,,1380,279,2,2,https://jsonplaceholder.typicode.com/posts,197,0,58
