Platform	Browser	UserType	Payment	Delivery	Language	Connection
Windows	Firefox	Premium	ApplePay	Pickup	EN	5G
iOS	Edge	Guest	PayPal	Locker	PL	4G
Android	Edge	Registered	Cash	Pickup	UA	Wi-Fi
iOS	Safari	Registered	Card	Standard	EN	Wi-Fi
macOS	Chrome	Premium	Card	Pickup	UA	4G
Windows	Chrome	Guest	Card	Courier	PL	5G
macOS	Chrome	Premium	Cash	Locker	PL	Wi-Fi
iOS	Firefox	Registered	ApplePay	Courier	UA	4G
Android	Safari	Guest	ApplePay	Standard	PL	5G
macOS	Firefox	Guest	PayPal	Courier	EN	Wi-Fi
Windows	Chrome	Registered	PayPal	Standard	UA	5G
Android	Safari	Premium	Cash	Courier	EN	4G
Android	Chrome	Registered	ApplePay	Locker	EN	5G
macOS	Safari	Guest	PayPal	Pickup	UA	5G
iOS	Edge	Premium	Cash	Courier	EN	5G
macOS	Edge	Registered	ApplePay	Standard	PL	Wi-Fi
Windows	Edge	Registered	Card	Locker	UA	4G
Windows	Firefox	Guest	Cash	Standard	PL	Wi-Fi
Windows	Safari	Premium	PayPal	Standard	PL	4G
Android	Firefox	Premium	Card	Pickup	PL	Wi-Fi
Android	Firefox	Premium	PayPal	Locker	PL	4G
iOS	Safari	Guest	PayPal	Locker	UA	4G
iOS	Chrome	Registered	Cash	Pickup	EN	Wi-Fi
